    -12.95     -10.55
    -11.77      -4.50
     23.30     -15.38
     -5.20     -14.10
     12.65      -5.16
     -2.66      12.27
    -12.34      14.79
      1.93     -21.25
      2.69      13.35
      9.07      -1.79
     -7.80      -1.34
    -23.95      21.87
     13.08       3.25
     -8.14      10.18
     13.84     -22.46
     -9.41      19.85
     -6.69      14.67
      6.27     -23.01
     -5.51      -2.52
     14.27      -0.92
     22.56       5.88
     10.37     -24.00
      1.91     -15.24
     22.95      20.33
    -16.05      22.67
