    -10.71       2.57
    -24.00       1.30
      2.94      -5.78
     16.84       6.23
    -16.86     -21.20
      1.13      14.32
     22.12     -20.68
     -1.09     -23.00
      5.01     -11.54
      3.04     -17.61
      0.60      17.35
     11.78       3.28
      1.49      11.46
     10.56      -2.27
     -4.30     -22.17
      3.08     -23.50
    -18.51     -16.20
      5.49       0.24
      8.58       5.14
     22.59       5.36
     13.11     -22.95
    -11.82     -14.35
    -21.44      21.78
     -4.97      12.85
    -10.95      -7.47
